# darshan log version: 3.21
# compression method: ZLIB
# exe: /projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io 10000000 /projects/ovis/tmp/darshan
# uid: 99066
# jobid: 256463
# start_time: 1658342139
# start_time_asci: Wed Jul 20 12:35:39 2022
# end_time: 1658343312
# end_time_asci: Wed Jul 20 12:55:12 2022
# nprocs: 512
# run time: 1174
# metadata: lib_ver = 3.3.1
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 469 bytes (compressed)
# record table: 147 bytes (compressed)
# POSIX module: 229 bytes (compressed), ver=4
# STDIO module: 82 bytes (compressed), ver=2
# DXT_POSIX module: 167716 bytes (compressed), ver=1
# HEATMAP module: 116236 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_oxqjfs_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/p0	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/sys/fs/cgroup/unified	cgroup2
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/usr/local/lmod	squashfs
# mount entry:	/usr/share/lmod	squashfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/opt/jemalloc	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/opt/python	squashfs
# mount entry:	/opt/nvidia	squashfs
# mount entry:	/projects	dvs
# mount entry:	/lscratch	lustre
# mount entry:	/opt/gcc	squashfs
# mount entry:	/opt/R	squashfs
# mount entry:	/home	dvs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 0, hostname: nid00020
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824        40000000      3.3119      6.6569
 X_POSIX       0  write        1        65165824        40000000     84.7690    177.8400
 X_POSIX       0  write        2       105165824        40000000    268.8228    275.1429
 X_POSIX       0  write        3       145165824        40000000    381.6238    384.5550
 X_POSIX       0  write        4       185165824        40000000    496.1241    499.1223
 X_POSIX       0  write        5       225165824        40000000    617.6247    620.4645
 X_POSIX       0  write        6       265165824        40000000    719.9100    726.4747
 X_POSIX       0  write        7       305165824        80000000    728.1026    734.6159
 X_POSIX       0  write        8       385165824        20000000    810.6707    812.1979
 X_POSIX       0  write        9               0        25165824    813.7586    816.0303
 X_POSIX       0   read        0               0        25165824    950.2866    957.0525
 X_POSIX       0   read        1        25165824        40000000    957.0915    978.0243
 X_POSIX       0   read        2        65165824        40000000    978.0245   1000.6777
 X_POSIX       0   read        3       105165824        40000000   1000.6778   1023.2564
 X_POSIX       0   read        4       145165824        40000000   1023.2565   1045.3018
 X_POSIX       0   read        5       185165824        40000000   1045.3018   1068.0373
 X_POSIX       0   read        6       225165824        40000000   1068.0374   1090.7521
 X_POSIX       0   read        7       265165824        40000000   1090.7522   1113.1343
 X_POSIX       0   read        8       305165824        80000000   1113.1344   1158.9553
 X_POSIX       0   read        9       385165824        20000000   1158.9554   1170.2924

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 1, hostname: nid00020
# DXT, write_count: 9, read_count: 9
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0       405165824        40000000     81.4608     84.7689
 X_POSIX       1  write        1       445165824        40000000    180.8354    183.8763
 X_POSIX       1  write        2       485165824        40000000    278.2882    281.4018
 X_POSIX       1  write        3       525165824        40000000    284.7782    287.8596
 X_POSIX       1  write        4       565165824        40000000    390.5221    505.0071
 X_POSIX       1  write        5       605165824        40000000    507.9942    513.9168
 X_POSIX       1  write        6       645165824        40000000    641.6797    644.6097
 X_POSIX       1  write        7       685165824        80000000    741.5341    751.8063
 X_POSIX       1  write        8       765165824        20000000    825.1478    879.0859
 X_POSIX       1   read        0       405165824        40000000    957.0926    979.7892
 X_POSIX       1   read        1       445165824        40000000    979.7898   1001.8933
 X_POSIX       1   read        2       485165824        40000000   1001.8934   1024.4780
 X_POSIX       1   read        3       525165824        40000000   1024.4781   1047.0770
 X_POSIX       1   read        4       565165824        40000000   1047.0770   1069.2681
 X_POSIX       1   read        5       605165824        40000000   1069.2682   1091.9835
 X_POSIX       1   read        6       645165824        40000000   1091.9836   1114.8925
 X_POSIX       1   read        7       685165824        80000000   1114.8926   1160.1924
 X_POSIX       1   read        8       765165824        20000000   1160.1925   1171.5225

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 2, hostname: nid00020
# DXT, write_count: 9, read_count: 9
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0       785165824        40000000     33.4262     36.6844
 X_POSIX       2  write        1       825165824        40000000    118.8783    121.9575
 X_POSIX       2  write        2       865165824        40000000    125.3310    128.2982
 X_POSIX       2  write        3       905165824        40000000    226.2445    229.4424
 X_POSIX       2  write        4       945165824        40000000    327.4295    330.4723
 X_POSIX       2  write        5       985165824        40000000    333.6433    336.5633
 X_POSIX       2  write        6      1025165824        40000000    446.9883    450.3352
 X_POSIX       2  write        7      1065165824        80000000    456.2596    465.1612
 X_POSIX       2  write        8      1145165824        20000000    468.0487    469.5699
 X_POSIX       2   read        0       785165824        40000000    957.0924    979.2784
 X_POSIX       2   read        1       825165824        40000000    979.2790   1001.9275
 X_POSIX       2   read        2       865165824        40000000   1001.9276   1024.5086
 X_POSIX       2   read        3       905165824        40000000   1024.5087   1047.1158
 X_POSIX       2   read        4       945165824        40000000   1047.1159   1069.2850
 X_POSIX       2   read        5       985165824        40000000   1069.2850   1092.0098
 X_POSIX       2   read        6      1025165824        40000000   1092.0099   1114.9403
 X_POSIX       2   read        7      1065165824        80000000   1114.9403   1160.2182
 X_POSIX       2   read        8      1145165824        20000000   1160.2182   1171.5559

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 3, hostname: nid00020
# DXT, write_count: 9, read_count: 9
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       3  write        0      1165165824        40000000     43.3646     46.6152
 X_POSIX       3  write        1      1205165824        40000000    125.3311    220.4234
 X_POSIX       3  write        2      1245165824        40000000    321.6275    324.4416
 X_POSIX       3  write        3      1285165824        40000000    429.1834    549.5518
 X_POSIX       3  write        4      1325165824        40000000    674.2568    677.2705
 X_POSIX       3  write        5      1365165824        40000000    678.7786    682.3103
 X_POSIX       3  write        6      1405165824        40000000    768.5620    771.5236
 X_POSIX       3  write        7      1445165824        80000000    777.7807    783.8648
 X_POSIX       3  write        8      1525165824        20000000    786.9520    790.2729
 X_POSIX       3   read        0      1165165824        40000000    957.0921    979.0838
 X_POSIX       3   read        1      1205165824        40000000    979.0844   1001.7324
 X_POSIX       3   read        2      1245165824        40000000   1001.7325   1024.3164
 X_POSIX       3   read        3      1285165824        40000000   1024.3164   1046.3654
 X_POSIX       3   read        4      1325165824        40000000   1046.3655   1069.0942
 X_POSIX       3   read        5      1365165824        40000000   1069.0943   1091.8172
 X_POSIX       3   read        6      1405165824        40000000   1091.8172   1114.2015
 X_POSIX       3   read        7      1445165824        80000000   1114.2016   1160.0260
 X_POSIX       3   read        8      1525165824        20000000   1160.0261   1171.3646

