job_id,ProducerName,rank,op,particles,filesystem,#module,seg:len,occurences,total_dur
256542,nid00020,0,write,5,lustre,STDIO,0,5,2.15e-4
256542,nid00020,0,write,5,lustre,STDIO,6,3,8.499999999999999e-5
256542,nid00020,0,write,5,lustre,STDIO,7,3,1.22e-4
256542,nid00020,0,write,5,lustre,STDIO,10,2,6.8e-5
256542,nid00020,0,write,5,lustre,STDIO,11,1,1.6e-5
256542,nid00020,0,write,5,lustre,STDIO,12,1,5.2e-5
256542,nid00020,0,write,5,lustre,STDIO,14,2,7e-5
256542,nid00020,0,write,5,lustre,STDIO,20,1,5.2e-5
256542,nid00020,0,write,5,lustre,STDIO,24,1,1.6e-5
256542,nid00020,0,write,5,lustre,STDIO,30,1,6.1e-5
256542,nid00020,0,write,5,lustre,STDIO,39,2,2.6e-5
256543,nid00020,0,write,5,lustre,STDIO,0,5,3.9799999999999997e-4
256543,nid00020,0,write,5,lustre,STDIO,6,2,7.2e-5
256543,nid00020,0,write,5,lustre,STDIO,7,3,9.1e-5
256543,nid00020,0,write,5,lustre,STDIO,8,1,5.5e-5
256543,nid00020,0,write,5,lustre,STDIO,10,2,7.3e-5
256543,nid00020,0,write,5,lustre,STDIO,11,1,1.8e-5
256543,nid00020,0,write,5,lustre,STDIO,12,1,5.5e-5
256543,nid00020,0,write,5,lustre,STDIO,14,2,7.3e-5
256543,nid00020,0,write,5,lustre,STDIO,20,1,5.4e-5
256543,nid00020,0,write,5,lustre,STDIO,24,1,1.8e-5
256543,nid00020,0,write,5,lustre,STDIO,30,1,5.9e-5
256543,nid00020,0,write,5,lustre,STDIO,39,2,2.9e-5
256544,nid00020,0,write,5,lustre,STDIO,0,5,2.39e-4
256544,nid00020,0,write,5,lustre,STDIO,6,1,6.2e-5
256544,nid00020,0,write,5,lustre,STDIO,7,4,1.1e-4
256544,nid00020,0,write,5,lustre,STDIO,8,1,6.2e-5
256544,nid00020,0,write,5,lustre,STDIO,10,2,7.8e-5
256544,nid00020,0,write,5,lustre,STDIO,11,1,1.6e-5
256544,nid00020,0,write,5,lustre,STDIO,12,1,6.2e-5
256544,nid00020,0,write,5,lustre,STDIO,14,2,7.8e-5
256544,nid00020,0,write,5,lustre,STDIO,20,1,6.1e-5
256544,nid00020,0,write,5,lustre,STDIO,24,1,1.6e-5
256544,nid00020,0,write,5,lustre,STDIO,30,1,6.6e-5
256544,nid00020,0,write,5,lustre,STDIO,39,2,3e-5
256545,nid00020,0,write,5,lustre,STDIO,0,5,4.91e-4
256545,nid00020,0,write,5,lustre,STDIO,7,6,2.97e-4
256545,nid00020,0,write,5,lustre,STDIO,10,2,9.9e-5
256545,nid00020,0,write,5,lustre,STDIO,11,1,1.6e-5
256545,nid00020,0,write,5,lustre,STDIO,12,1,8.3e-5
256545,nid00020,0,write,5,lustre,STDIO,14,2,9.999999999999999e-5
256545,nid00020,0,write,5,lustre,STDIO,20,1,8.3e-5
256545,nid00020,0,write,5,lustre,STDIO,24,1,1.5e-5
256545,nid00020,0,write,5,lustre,STDIO,30,1,9.2e-5
