# darshan log version: 3.21
# compression method: ZLIB
# exe: /projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io 10000000 /projects/ovis/tmp/darshan
# uid: 99066
# jobid: 256584
# start_time: 1658549634
# start_time_asci: Fri Jul 22 22:13:54 2022
# end_time: 1658550919
# end_time_asci: Fri Jul 22 22:35:19 2022
# nprocs: 512
# run time: 1286
# metadata: lib_ver = 3.3.1
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 467 bytes (compressed)
# record table: 147 bytes (compressed)
# POSIX module: 237 bytes (compressed), ver=4
# STDIO module: 81 bytes (compressed), ver=2
# DXT_POSIX module: 168165 bytes (compressed), ver=1
# HEATMAP module: 98878 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_oxqjfs_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/p0	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/sys/fs/cgroup/unified	cgroup2
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/usr/local/lmod	squashfs
# mount entry:	/usr/share/lmod	squashfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/opt/jemalloc	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/opt/python	squashfs
# mount entry:	/opt/nvidia	squashfs
# mount entry:	/projects	dvs
# mount entry:	/lscratch	lustre
# mount entry:	/opt/gcc	squashfs
# mount entry:	/opt/R	squashfs
# mount entry:	/home	dvs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 0, hostname: nid00020
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824        40000000      1.7183      5.1137
 X_POSIX       0  write        1        65165824        40000000     79.6033     82.8978
 X_POSIX       0  write        2       105165824        40000000    188.7739    193.0456
 X_POSIX       0  write        3       145165824        40000000    303.3117    306.5840
 X_POSIX       0  write        4       185165824        40000000    423.1199    550.1005
 X_POSIX       0  write        5       225165824        40000000    682.9796    795.7567
 X_POSIX       0  write        6       265165824        40000000    903.0786    906.1854
 X_POSIX       0  write        7       305165824        80000000    907.6842    914.1697
 X_POSIX       0  write        8       385165824        20000000    973.5670   1033.8213
 X_POSIX       0  write        9               0        25165824   1035.6822   1037.8286
 X_POSIX       0   read        0               0        25165824   1059.4535   1066.5343
 X_POSIX       0   read        1        25165824        40000000   1066.5722   1087.9918
 X_POSIX       0   read        2        65165824        40000000   1087.9919   1110.9468
 X_POSIX       0   read        3       105165824        40000000   1110.9469   1133.8582
 X_POSIX       0   read        4       145165824        40000000   1133.8583   1156.5562
 X_POSIX       0   read        5       185165824        40000000   1156.5563   1179.6957
 X_POSIX       0   read        6       225165824        40000000   1179.6958   1202.7548
 X_POSIX       0   read        7       265165824        40000000   1202.7549   1225.5463
 X_POSIX       0   read        8       305165824        80000000   1225.5464   1271.2202
 X_POSIX       0   read        9       385165824        20000000   1271.2203   1282.4143

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 1, hostname: nid00020
# DXT, write_count: 9, read_count: 9
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0       405165824        40000000     69.0152     75.9100
 X_POSIX       1  write        1       445165824        40000000    179.1148    289.4115
 X_POSIX       1  write        2       485165824        40000000    401.5957    405.5411
 X_POSIX       1  write        3       525165824        40000000    533.0087    536.1495
 X_POSIX       1  write        4       565165824        40000000    539.8112    543.0107
 X_POSIX       1  write        5       605165824        40000000    672.6811    676.3339
 X_POSIX       1  write        6       645165824        40000000    682.9795    686.8432
 X_POSIX       1  write        7       685165824        80000000    795.7568    802.3419
 X_POSIX       1  write        8       765165824        20000000    906.1855    907.6842
 X_POSIX       1   read        0       405165824        40000000   1066.5735   1089.7706
 X_POSIX       1   read        1       445165824        40000000   1089.7712   1112.3029
 X_POSIX       1   read        2       485165824        40000000   1112.3030   1135.2184
 X_POSIX       1   read        3       525165824        40000000   1135.2185   1158.3910
 X_POSIX       1   read        4       565165824        40000000   1158.3911   1180.9847
 X_POSIX       1   read        5       605165824        40000000   1180.9848   1204.1051
 X_POSIX       1   read        6       645165824        40000000   1204.1052   1227.3916
 X_POSIX       1   read        7       685165824        80000000   1227.3917   1272.5131
 X_POSIX       1   read        8       765165824        20000000   1272.5132   1283.6837

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 2, hostname: nid00020
# DXT, write_count: 9, read_count: 9
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0       785165824        40000000     11.4131     14.4907
 X_POSIX       2  write        1       825165824        40000000     93.0874     96.2345
 X_POSIX       2  write        2       865165824        40000000    199.7107    309.8808
 X_POSIX       2  write        3       905165824        40000000    426.2916    429.3130
 X_POSIX       2  write        4       945165824        40000000    560.5451    564.4661
 X_POSIX       2  write        5       985165824        40000000    696.8677    700.4755
 X_POSIX       2  write        6      1025165824        40000000    703.7705    707.8945
 X_POSIX       2  write        7      1065165824        80000000    822.1439    835.1679
 X_POSIX       2  write        8      1145165824        20000000    936.1704    938.1948
 X_POSIX       2   read        0       785165824        40000000   1066.5732   1089.1971
 X_POSIX       2   read        1       825165824        40000000   1089.1978   1112.2518
 X_POSIX       2   read        2       865165824        40000000   1112.2519   1135.1628
 X_POSIX       2   read        3       905165824        40000000   1135.1629   1158.3558
 X_POSIX       2   read        4       945165824        40000000   1158.3559   1180.9473
 X_POSIX       2   read        5       985165824        40000000   1180.9474   1204.0405
 X_POSIX       2   read        6      1025165824        40000000   1204.0406   1227.3709
 X_POSIX       2   read        7      1065165824        80000000   1227.3711   1272.5516
 X_POSIX       2   read        8      1145165824        20000000   1272.5516   1283.7381

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 3, hostname: nid00020
# DXT, write_count: 9, read_count: 9
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       3  write        0      1165165824        40000000     51.3892     54.8466
 X_POSIX       3  write        1      1205165824        40000000    157.9514    162.6467
 X_POSIX       3  write        2      1245165824        40000000    268.4596    271.6552
 X_POSIX       3  write        3      1285165824        40000000    275.5775    278.9456
 X_POSIX       3  write        4      1325165824        40000000    282.6272    285.7535
 X_POSIX       3  write        5      1365165824        40000000    398.3859    401.5956
 X_POSIX       3  write        6      1405165824        40000000    529.8958    659.5749
 X_POSIX       3  write        7      1445165824        80000000    776.5388    784.0008
 X_POSIX       3  write        8      1525165824        20000000    787.3445    792.2213
 X_POSIX       3   read        0      1165165824        40000000   1066.5748   1089.4946
 X_POSIX       3   read        1      1205165824        40000000   1089.4952   1112.5940
 X_POSIX       3   read        2      1245165824        40000000   1112.5941   1135.5261
 X_POSIX       3   read        3      1285165824        40000000   1135.5262   1158.1431
 X_POSIX       3   read        4      1325165824        40000000   1158.1432   1181.2923
 X_POSIX       3   read        5      1365165824        40000000   1181.2923   1204.4136
 X_POSIX       3   read        6      1405165824        40000000   1204.4137   1227.1893
 X_POSIX       3   read        7      1445165824        80000000   1227.1894   1272.9161
 X_POSIX       3   read        8      1525165824        20000000   1272.9161   1284.0924

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 4, hostname: nid00020
# DXT, write_count: 9, read_count: 9
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       4  write        0      1545165824        40000000     35.1148    121.2530
 X_POSIX       4  write        1      1585165824        40000000    216.6305    331.1724
 X_POSIX       4  write        2      1625165824        40000000    450.7843    585.0394
 X_POSIX       4  write        3      1665165824        40000000    715.6999    827.1709
 X_POSIX       4  write        4      1705165824        40000000    934.6027    996.5520
 X_POSIX       4  write        5      1745165824        40000000   1039.6121   1042.9160
 X_POSIX       4  write        6      1785165824        40000000   1050.1878   1053.5294
 X_POSIX       4  write        7      1825165824        80000000   1053.5294   1058.7450
 X_POSIX       4  write        8      1905165824        20000000   1058.7451   1059.3523
