# darshan log version: 3.21
# compression method: ZLIB
# exe: /projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io 10000000 /projects/ovis/tmp/darshan
# uid: 99066
# jobid: 256585
# start_time: 1658550968
# start_time_asci: Fri Jul 22 22:36:08 2022
# end_time: 1658552292
# end_time_asci: Fri Jul 22 22:58:12 2022
# nprocs: 512
# run time: 1325
# metadata: lib_ver = 3.3.1
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 469 bytes (compressed)
# record table: 147 bytes (compressed)
# POSIX module: 228 bytes (compressed), ver=4
# STDIO module: 81 bytes (compressed), ver=2
# DXT_POSIX module: 168453 bytes (compressed), ver=1
# HEATMAP module: 99244 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_oxqjfs_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/p0	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/sys/fs/cgroup/unified	cgroup2
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/usr/local/lmod	squashfs
# mount entry:	/usr/share/lmod	squashfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/opt/jemalloc	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/opt/python	squashfs
# mount entry:	/opt/nvidia	squashfs
# mount entry:	/projects	dvs
# mount entry:	/lscratch	lustre
# mount entry:	/opt/gcc	squashfs
# mount entry:	/opt/R	squashfs
# mount entry:	/home	dvs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 0, hostname: nid00020
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824        40000000      3.3079      6.4519
 X_POSIX       0  write        1        65165824        40000000     85.5970     91.8073
 X_POSIX       0  write        2       105165824        40000000    192.7811    195.8667
 X_POSIX       0  write        3       145165824        40000000    306.7822    411.8936
 X_POSIX       0  write        4       185165824        40000000    531.3406    538.9851
 X_POSIX       0  write        5       225165824        40000000    663.8253    674.8476
 X_POSIX       0  write        6       265165824        40000000    794.7074    798.8246
 X_POSIX       0  write        7       305165824        80000000    933.4694    943.3634
 X_POSIX       0  write        8       385165824        20000000   1039.3553   1041.2002
 X_POSIX       0  write        9               0        25165824   1070.3810   1072.6520
 X_POSIX       0   read        0               0        25165824   1097.1117   1103.9651
 X_POSIX       0   read        1        25165824        40000000   1104.0031   1125.9797
 X_POSIX       0   read        2        65165824        40000000   1125.9798   1149.1663
 X_POSIX       0   read        3       105165824        40000000   1149.1664   1172.4549
 X_POSIX       0   read        4       145165824        40000000   1172.4550   1195.2825
 X_POSIX       0   read        5       185165824        40000000   1195.2826   1218.5743
 X_POSIX       0   read        6       225165824        40000000   1218.5744   1241.7413
 X_POSIX       0   read        7       265165824        40000000   1241.7414   1264.5974
 X_POSIX       0   read        8       305165824        80000000   1264.5975   1311.2775
 X_POSIX       0   read        9       385165824        20000000   1311.2775   1322.8130

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 1, hostname: nid00020
# DXT, write_count: 9, read_count: 9
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0       405165824        40000000     46.9856    133.6577
 X_POSIX       1  write        1       445165824        40000000    238.9762    242.2930
 X_POSIX       1  write        2       485165824        40000000    247.9512    251.1116
 X_POSIX       1  write        3       525165824        40000000    353.4802    467.8883
 X_POSIX       1  write        4       565165824        40000000    589.7523    598.1889
 X_POSIX       1  write        5       605165824        40000000    598.1890    602.0138
 X_POSIX       1  write        6       645165824        40000000    731.3920    851.3230
 X_POSIX       1  write        7       685165824        80000000    984.6836   1054.4058
 X_POSIX       1  write        8       765165824        20000000   1056.5985   1061.4854
 X_POSIX       1   read        0       405165824        40000000   1104.0037   1127.3234
 X_POSIX       1   read        1       445165824        40000000   1127.3240   1150.0199
 X_POSIX       1   read        2       485165824        40000000   1150.0200   1173.2898
 X_POSIX       1   read        3       525165824        40000000   1173.2898   1196.6342
 X_POSIX       1   read        4       565165824        40000000   1196.6343   1219.3593
 X_POSIX       1   read        5       605165824        40000000   1219.3594   1242.5627
 X_POSIX       1   read        6       645165824        40000000   1242.5628   1265.9254
 X_POSIX       1   read        7       685165824        80000000   1265.9255   1312.0842
 X_POSIX       1   read        8       765165824        20000000   1312.0843   1323.5814

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 2, hostname: nid00020
# DXT, write_count: 9, read_count: 9
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0       785165824        40000000     26.8692     30.1050
 X_POSIX       2  write        1       825165824        40000000    108.5749    112.5488
 X_POSIX       2  write        2       865165824        40000000    215.5523    328.0055
 X_POSIX       2  write        3       905165824        40000000    443.7110    446.9939
 X_POSIX       2  write        4       945165824        40000000    567.3233    570.4346
 X_POSIX       2  write        5       985165824        40000000    704.8290    707.7289
 X_POSIX       2  write        6      1025165824        40000000    815.7271    962.7320
 X_POSIX       2  write        7      1065165824        80000000   1041.2002   1047.4761
 X_POSIX       2  write        8      1145165824        20000000   1072.6520   1082.1146
 X_POSIX       2   read        0       785165824        40000000   1104.0042   1126.8356
 X_POSIX       2   read        1       825165824        40000000   1126.8363   1150.0803
 X_POSIX       2   read        2       865165824        40000000   1150.0804   1173.3733
 X_POSIX       2   read        3       905165824        40000000   1173.3734   1196.7203
 X_POSIX       2   read        4       945165824        40000000   1196.7204   1219.4398
 X_POSIX       2   read        5       985165824        40000000   1219.4399   1242.6426
 X_POSIX       2   read        6      1025165824        40000000   1242.6426   1266.0262
 X_POSIX       2   read        7      1065165824        80000000   1266.0263   1312.1850
 X_POSIX       2   read        8      1145165824        20000000   1312.1851   1323.6833

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 3, hostname: nid00020
# DXT, write_count: 9, read_count: 9
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       3  write        0      1165165824        40000000     72.9714     77.2552
 X_POSIX       3  write        1      1205165824        40000000    179.7177    182.8534
 X_POSIX       3  write        2      1245165824        40000000    295.4574    299.1754
 X_POSIX       3  write        3      1285165824        40000000    302.7338    306.7821
 X_POSIX       3  write        4      1325165824        40000000    310.0799    314.0807
 X_POSIX       3  write        5      1365165824        40000000    415.0839    418.9182
 X_POSIX       3  write        6      1405165824        40000000    538.9851    543.1243
 X_POSIX       3  write        7      1445165824        80000000    674.8476    689.5635
 X_POSIX       3  write        8      1525165824        20000000    693.1974    698.3834
 X_POSIX       3   read        0      1165165824        40000000   1104.0036   1126.8521
 X_POSIX       3   read        1      1205165824        40000000   1126.8528   1150.0925
 X_POSIX       3   read        2      1245165824        40000000   1150.0926   1173.3768
 X_POSIX       3   read        3      1285165824        40000000   1173.3769   1196.1696
 X_POSIX       3   read        4      1325165824        40000000   1196.1697   1219.4508
 X_POSIX       3   read        5      1365165824        40000000   1219.4509   1242.6393
 X_POSIX       3   read        6      1405165824        40000000   1242.6394   1265.4606
 X_POSIX       3   read        7      1445165824        80000000   1265.4607   1312.1810
 X_POSIX       3   read        8      1525165824        20000000   1312.1811   1323.6857

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 4, hostname: nid00020
# DXT, write_count: 9, read_count: 9
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       4  write        0      1545165824        40000000      6.4519      9.5807
 X_POSIX       4  write        1      1585165824        40000000     91.8073     95.1833
 X_POSIX       4  write        2      1625165824        40000000    195.8667    205.0354
