# darshan log version: 3.21
# compression method: ZLIB
# exe: /projects/ovis/omar/stria_run/HACC-IO/hacc_io 10000000 /projects/ovis/tmp/darshan
# uid: 99066
# jobid: 10764612
# start_time: 1663019849
# start_time_asci: Mon Sep 12 15:57:29 2022
# end_time: 1663021127
# end_time_asci: Mon Sep 12 16:18:47 2022
# nprocs: 512
# run time: 1279
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 312 bytes (compressed)
# record table: 34362 bytes (compressed)
# POSIX module: 92917 bytes (compressed), ver=4
# STDIO module: 60 bytes (compressed), ver=2
# DXT_POSIX module: 173371 bytes (compressed), ver=1
# HEATMAP module: 109760 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/home/spwalto	nfs
# mount entry:	/root_ro_nfs	nfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/home/lknox	nfs
# mount entry:	/projects	nfs
# mount entry:	/lustre	lustre
# mount entry:	/beeond	xfs
# mount entry:	/hpcart	nfs
# mount entry:	/home	nfs
# mount entry:	/dev	devtmpfs
# mount entry:	/opt	nfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5857810700580566174, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000512.data
# DXT, rank: 0, hostname: st1
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824        40000000      0.9689      0.9767
 X_POSIX       0  write        1        65165824        40000000      0.9768      0.9846
 X_POSIX       0  write        2       105165824        40000000      0.9847      0.9925
 X_POSIX       0  write        3       145165824        40000000      0.9926      1.0005
 X_POSIX       0  write        4       185165824        40000000      1.0005      1.0083
 X_POSIX       0  write        5       225165824        40000000      1.0084      1.0162
 X_POSIX       0  write        6       265165824        40000000      1.0162      1.0240
 X_POSIX       0  write        7       305165824        80000000      1.0240      1.0395
 X_POSIX       0  write        8       385165824        20000000      1.0396      1.0434
 X_POSIX       0  write        9               0        25165824      1.0435      1.0484
 X_POSIX       0   read        0               0        25165824    377.1093    377.1183
 X_POSIX       0   read        1        25165824        40000000    377.1191    377.1338
 X_POSIX       0   read        2        65165824        40000000    377.1338    377.1482
 X_POSIX       0   read        3       105165824        40000000    377.1483    377.1626
 X_POSIX       0   read        4       145165824        40000000    377.1626    377.1769
 X_POSIX       0   read        5       185165824        40000000    377.1770    377.1913
 X_POSIX       0   read        6       225165824        40000000    377.1914    377.2058
 X_POSIX       0   read        7       265165824        40000000    377.2058    377.2201
 X_POSIX       0   read        8       305165824        80000000    377.2202    377.2489
 X_POSIX       0   read        9       385165824        20000000    377.2490    377.2562

# DXT, file_id: 9859995185289467732, file_name: /projects/ovis/tmp/darshan-Part00000001-of-00000512.data
# DXT, rank: 1, hostname: st1
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0        25165824        40000000     10.4844     50.2049
 X_POSIX       1  write        1        65165824        40000000     50.2049     80.2949
 X_POSIX       1  write        2       105165824        40000000     80.2950    110.8248
 X_POSIX       1  write        3       145165824        40000000    110.8249    140.3948
 X_POSIX       1  write        4       185165824        40000000    140.3949    168.2648
 X_POSIX       1  write        5       225165824        40000000    168.2649    196.0649
 X_POSIX       1  write        6       265165824        40000000    196.0650    222.9049
 X_POSIX       1  write        7       305165824        80000000    222.9050    275.5549
 X_POSIX       1  write        8       385165824        20000000    275.5549    287.8749
 X_POSIX       1  write        9               0        25165824    287.8750    302.6949
 X_POSIX       1   read        0               0        25165824    343.5334    353.0789
 X_POSIX       1   read        1        25165824        40000000    353.3730    773.9984
 X_POSIX       1   read        2        65165824        40000000    773.9985    942.3033
 X_POSIX       1   read        3       105165824        40000000    942.3034   1029.7577
 X_POSIX       1   read        4       145165824        40000000   1029.7578   1139.5107
 X_POSIX       1   read        5       185165824        40000000   1139.5108   1158.9635
 X_POSIX       1   read        6       225165824        40000000   1158.9636   1206.5953
 X_POSIX       1   read        7       265165824        40000000   1206.5954   1249.4283
 X_POSIX       1   read        8       305165824        80000000   1249.4284   1265.5909
 X_POSIX       1   read        9       385165824        20000000   1265.5910   1267.3378

# DXT, file_id: 11610747898245933209, file_name: /projects/ovis/tmp/darshan-Part00000002-of-00000512.data
# DXT, rank: 2, hostname: st1
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0        25165824        40000000      3.4529      3.5863
 X_POSIX       2  write        1        65165824        40000000      3.5864      3.7655
 X_POSIX       2  write        2       105165824        40000000      3.7656      4.0054
 X_POSIX       2  write        3       145165824        40000000      4.0055      4.2652
 X_POSIX       2  write        4       185165824        40000000      4.2652      4.5653
 X_POSIX       2  write        5       225165824        40000000      4.5654      5.1051
 X_POSIX       2  write        6       265165824        40000000      5.1052     10.8751
 X_POSIX       2  write        7       305165824        80000000     10.8752     80.8551
