# darshan log version: 3.21
# compression method: ZLIB
# exe: /projects/ovis/omar/stria_run/HACC-IO/hacc_io 5000000 /projects/ovis/tmp/darshan
# uid: 99066
# jobid: 10714341
# start_time: 1662661505
# start_time_asci: Thu Sep  8 12:25:05 2022
# end_time: 1662662593
# end_time_asci: Thu Sep  8 12:43:13 2022
# nprocs: 512
# run time: 1089
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 309 bytes (compressed)
# record table: 34362 bytes (compressed)
# POSIX module: 93447 bytes (compressed), ver=4
# STDIO module: 58 bytes (compressed), ver=2
# DXT_POSIX module: 164546 bytes (compressed), ver=1
# HEATMAP module: 71529 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/home/spwalto	nfs
# mount entry:	/root_ro_nfs	nfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/projects	nfs
# mount entry:	/lustre	lustre
# mount entry:	/beeond	xfs
# mount entry:	/hpcart	nfs
# mount entry:	/home	nfs
# mount entry:	/dev	devtmpfs
# mount entry:	/opt	nfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5857810700580566174, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000512.data
# DXT, rank: 0, hostname: st26
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824        20000000      7.8082      7.8122
 X_POSIX       0  write        1        45165824        20000000      7.8123      7.8162
 X_POSIX       0  write        2        65165824        20000000      7.8163      7.8202
 X_POSIX       0  write        3        85165824        20000000      7.8202      7.8241
 X_POSIX       0  write        4       105165824        20000000      7.8242      7.8281
 X_POSIX       0  write        5       125165824        20000000      7.8282      7.8320
 X_POSIX       0  write        6       145165824        20000000      7.8320      7.8359
 X_POSIX       0  write        7       165165824        40000000      7.8360      7.8441
 X_POSIX       0  write        8       205165824        10000000      7.8442      7.8864
 X_POSIX       0  write        9               0        25165824      7.8864      8.1369
 X_POSIX       0   read        0               0        25165824    299.7706    299.7796
 X_POSIX       0   read        1        25165824        20000000    299.7806    299.7881
 X_POSIX       0   read        2        45165824        20000000    299.7881    299.7953
 X_POSIX       0   read        3        65165824        20000000    299.7953    299.8024
 X_POSIX       0   read        4        85165824        20000000    299.8025    299.8097
 X_POSIX       0   read        5       105165824        20000000    299.8098    299.8171
 X_POSIX       0   read        6       125165824        20000000    299.8171    299.8243
 X_POSIX       0   read        7       145165824        20000000    299.8243    299.8314
 X_POSIX       0   read        8       165165824        40000000    299.8315    299.8458
 X_POSIX       0   read        9       205165824        10000000    299.8458    299.8495

# DXT, file_id: 9859995185289467732, file_name: /projects/ovis/tmp/darshan-Part00000001-of-00000512.data
# DXT, rank: 1, hostname: st26
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0        25165824        20000000     93.3790     98.0762
 X_POSIX       1  write        1        45165824        20000000     98.0763    105.7062
 X_POSIX       1  write        2        65165824        20000000    105.7063    112.8562
 X_POSIX       1  write        3        85165824        20000000    112.8562    120.3962
