# darshan log version: 3.21
# compression method: ZLIB
# exe: /projects/ovis/omar/stria_run/HACC-IO/hacc_io 5000000 /projects/ovis/tmp/darshan
# uid: 99066
# jobid: 10764592
# start_time: 1663010745
# start_time_asci: Mon Sep 12 13:25:45 2022
# end_time: 1663011069
# end_time_asci: Mon Sep 12 13:31:09 2022
# nprocs: 512
# run time: 325
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 308 bytes (compressed)
# record table: 34362 bytes (compressed)
# POSIX module: 92407 bytes (compressed), ver=4
# STDIO module: 58 bytes (compressed), ver=2
# DXT_POSIX module: 165884 bytes (compressed), ver=1
# HEATMAP module: 75096 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/home/spwalto	nfs
# mount entry:	/root_ro_nfs	nfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/projects	nfs
# mount entry:	/lustre	lustre
# mount entry:	/beeond	xfs
# mount entry:	/hpcart	nfs
# mount entry:	/home	nfs
# mount entry:	/dev	devtmpfs
# mount entry:	/opt	nfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 5857810700580566174, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000512.data
# DXT, rank: 0, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824        20000000     19.9304     20.4025
 X_POSIX       0  write        1        45165824        20000000     20.4026     20.8324
 X_POSIX       0  write        2        65165824        20000000     20.8324     21.3325
 X_POSIX       0  write        3        85165824        20000000     21.3325     21.8523
 X_POSIX       0  write        4       105165824        20000000     21.8524     22.3524
 X_POSIX       0  write        5       125165824        20000000     22.3525     22.8723
 X_POSIX       0  write        6       145165824        20000000     22.8724     23.3724
 X_POSIX       0  write        7       165165824        40000000     23.3725     25.1723
 X_POSIX       0  write        8       205165824        10000000     25.1724     25.8223
 X_POSIX       0  write        9               0        25165824     25.8224     27.2523
 X_POSIX       0   read        0               0        25165824    219.5331    219.8592
 X_POSIX       0   read        1        25165824        20000000    219.8620    245.6384
 X_POSIX       0   read        2        45165824        20000000    245.6386    291.6297
 X_POSIX       0   read        3        65165824        20000000    291.6298    294.6869
 X_POSIX       0   read        4        85165824        20000000    294.6870    301.5012
 X_POSIX       0   read        5       105165824        20000000    301.5013    307.0104
 X_POSIX       0   read        6       125165824        20000000    307.0105    310.1950
 X_POSIX       0   read        7       145165824        20000000    310.1951    312.0670
 X_POSIX       0   read        8       165165824        40000000    312.0671    315.1402
 X_POSIX       0   read        9       205165824        10000000    315.1403    315.2864

# DXT, file_id: 9859995185289467732, file_name: /projects/ovis/tmp/darshan-Part00000001-of-00000512.data
# DXT, rank: 1, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0        25165824        20000000      0.5421      0.5459
 X_POSIX       1  write        1        45165824        20000000      0.5460      0.5498
 X_POSIX       1  write        2        65165824        20000000      0.5499      0.5537
 X_POSIX       1  write        3        85165824        20000000      0.5538      0.5576
 X_POSIX       1  write        4       105165824        20000000      0.5577      0.5615
 X_POSIX       1  write        5       125165824        20000000      0.5616      0.5654
 X_POSIX       1  write        6       145165824        20000000      0.5654      0.5693
 X_POSIX       1  write        7       165165824        40000000      0.5693      0.5770
 X_POSIX       1  write        8       205165824        10000000      0.5770      0.5789
 X_POSIX       1  write        9               0        25165824      0.5790      0.5838
 X_POSIX       1   read        0               0        25165824     50.4775     64.8999
 X_POSIX       1   read        1        25165824        20000000     67.6238     77.9763
 X_POSIX       1   read        2        45165824        20000000     77.9764     89.3584
 X_POSIX       1   read        3        65165824        20000000     89.3585     98.1311
 X_POSIX       1   read        4        85165824        20000000     98.1311    110.0305
 X_POSIX       1   read        5       105165824        20000000    110.0306    121.4384
 X_POSIX       1   read        6       125165824        20000000    121.4385    132.9328
 X_POSIX       1   read        7       145165824        20000000    132.9329    142.1475
 X_POSIX       1   read        8       165165824        40000000    142.1476    177.9809
 X_POSIX       1   read        9       205165824        10000000    177.9810    205.5835

# DXT, file_id: 11610747898245933209, file_name: /projects/ovis/tmp/darshan-Part00000002-of-00000512.data
# DXT, rank: 2, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       2  write        0        25165824        20000000      0.4353      0.4392
 X_POSIX       2  write        1        45165824        20000000      0.4392      0.4430
 X_POSIX       2  write        2        65165824        20000000      0.4431      0.4469
 X_POSIX       2  write        3        85165824        20000000      0.4469      0.4507
 X_POSIX       2  write        4       105165824        20000000      0.4507      0.4545
 X_POSIX       2  write        5       125165824        20000000      0.4546      0.4584
 X_POSIX       2  write        6       145165824        20000000      0.4584      0.4623
 X_POSIX       2  write        7       165165824        40000000      0.4623      0.4702
 X_POSIX       2  write        8       205165824        10000000      0.4702      0.4722
 X_POSIX       2  write        9               0        25165824      0.4723      0.4772
 X_POSIX       2   read        0               0        25165824     95.6962     95.7057
 X_POSIX       2   read        1        25165824        20000000     96.4502     96.4575
 X_POSIX       2   read        2        45165824        20000000     96.4576     96.4650
 X_POSIX       2   read        3        65165824        20000000     96.4650     96.4722
 X_POSIX       2   read        4        85165824        20000000     96.4723     96.4796
 X_POSIX       2   read        5       105165824        20000000     96.4796     96.4870
 X_POSIX       2   read        6       125165824        20000000     96.4870     96.4944
 X_POSIX       2   read        7       145165824        20000000     96.4945     96.5018
 X_POSIX       2   read        8       165165824        40000000     96.5018     96.5165
 X_POSIX       2   read        9       205165824        10000000     96.5165     96.5202

# DXT, file_id: 9268848760574288033, file_name: /projects/ovis/tmp/darshan-Part00000003-of-00000512.data
# DXT, rank: 3, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       3  write        0        25165824        20000000     22.9939     23.4924
 X_POSIX       3  write        1        45165824        20000000     23.4925     24.2123
 X_POSIX       3  write        2        65165824        20000000     24.2123     25.5322
 X_POSIX       3  write        3        85165824        20000000     25.5323     26.4722
 X_POSIX       3  write        4       105165824        20000000     26.4723     28.2322
 X_POSIX       3  write        5       125165824        20000000     28.2323     30.1322
 X_POSIX       3  write        6       145165824        20000000     30.1323     31.2322
 X_POSIX       3  write        7       165165824        40000000     31.2323     34.3122
 X_POSIX       3  write        8       205165824        10000000     34.3123     35.3123
 X_POSIX       3  write        9               0        25165824     35.3123     37.8822
 X_POSIX       3   read        0               0        25165824     95.6977     95.7058
 X_POSIX       3   read        1        25165824        20000000     96.4366     96.4436
 X_POSIX       3   read        2        45165824        20000000     96.4437     96.4508
 X_POSIX       3   read        3        65165824        20000000     96.4508     96.4575
 X_POSIX       3   read        4        85165824        20000000     96.4575     96.4640
 X_POSIX       3   read        5       105165824        20000000     96.4640     96.4712
 X_POSIX       3   read        6       125165824        20000000     96.4713     96.4770
 X_POSIX       3   read        7       145165824        20000000     96.4770     96.4832
 X_POSIX       3   read        8       165165824        40000000     96.4833     96.4964
 X_POSIX       3   read        9       205165824        10000000     96.4964     96.4999

# DXT, file_id: 7407587191444196197, file_name: /projects/ovis/tmp/darshan-Part00000004-of-00000512.data
# DXT, rank: 4, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       4  write        0        25165824        20000000      3.6114      3.6175
 X_POSIX       4  write        1        45165824        20000000      3.6176      3.6237
 X_POSIX       4  write        2        65165824        20000000      3.6237      3.6298
 X_POSIX       4  write        3        85165824        20000000      3.6298      3.6359
 X_POSIX       4  write        4       105165824        20000000      3.6359      3.6420
 X_POSIX       4  write        5       125165824        20000000      3.6420      3.6481
 X_POSIX       4  write        6       145165824        20000000      3.6481      3.6542
 X_POSIX       4  write        7       165165824        40000000      3.6542      3.6664
 X_POSIX       4  write        8       205165824        10000000      3.6665      3.6695
 X_POSIX       4  write        9               0        25165824      3.6696      3.6772
 X_POSIX       4   read        0               0        25165824    140.2086    140.2152
 X_POSIX       4   read        1        25165824        20000000    140.2641    140.2693
 X_POSIX       4   read        2        45165824        20000000    140.2693    140.2744
 X_POSIX       4   read        3        65165824        20000000    140.2744    140.2794
 X_POSIX       4   read        4        85165824        20000000    140.2795    140.2844
 X_POSIX       4   read        5       105165824        20000000    140.2845    140.2894
 X_POSIX       4   read        6       125165824        20000000    140.2894    140.2943
 X_POSIX       4   read        7       145165824        20000000    140.2944    140.2994
 X_POSIX       4   read        8       165165824        40000000    140.2994    140.3093
 X_POSIX       4   read        9       205165824        10000000    140.3094    140.3118

# DXT, file_id: 11179830577371158540, file_name: /projects/ovis/tmp/darshan-Part00000005-of-00000512.data
# DXT, rank: 5, hostname: st45
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: nfs
