# darshan log version: 3.21
# compression method: ZLIB
# exe: /projects/ovis/UCF/voltrino_run/HACC-IO/hacc_io 5000000 /projects/ovis/tmp/darshan
# uid: 99066
# jobid: 256580
# start_time: 1658546931
# start_time_asci: Fri Jul 22 21:28:51 2022
# end_time: 1658547670
# end_time_asci: Fri Jul 22 21:41:10 2022
# nprocs: 512
# run time: 740
# metadata: lib_ver = 3.3.1
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 467 bytes (compressed)
# record table: 147 bytes (compressed)
# POSIX module: 235 bytes (compressed), ver=4
# STDIO module: 79 bytes (compressed), ver=2
# DXT_POSIX module: 167788 bytes (compressed), ver=1
# HEATMAP module: 101529 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-image-binding/PE/squash_mounts/squashfs_oxqjfs_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/p0	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/sys/fs/cgroup/unified	cgroup2
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/usr/local/lmod	squashfs
# mount entry:	/usr/share/lmod	squashfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/opt/jemalloc	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/opt/python	squashfs
# mount entry:	/opt/nvidia	squashfs
# mount entry:	/projects	dvs
# mount entry:	/lscratch	lustre
# mount entry:	/opt/gcc	squashfs
# mount entry:	/opt/R	squashfs
# mount entry:	/home	dvs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 0, hostname: nid00020
# DXT, write_count: 10, read_count: 10
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0        25165824        20000000      3.2368      5.7134
 X_POSIX       0  write        1        45165824        20000000      5.7135     11.1741
 X_POSIX       0  write        2        65165824        20000000     87.5732    188.6566
 X_POSIX       0  write        3        85165824        20000000    190.9991    193.2708
 X_POSIX       0  write        4       105165824        20000000    267.8955    270.1573
 X_POSIX       0  write        5       125165824        20000000    272.4004    274.6296
 X_POSIX       0  write        6       145165824        20000000    350.6253    352.6205
 X_POSIX       0  write        7       165165824        40000000    424.3865    482.8793
 X_POSIX       0  write        8       205165824        10000000    519.0456    521.3068
 X_POSIX       0  write        9               0        25165824    559.3016    563.2765
 X_POSIX       0   read        0               0        25165824    622.4989    626.3051
 X_POSIX       0   read        1        25165824        20000000    626.3387    636.1107
 X_POSIX       0   read        2        45165824        20000000    636.1108    647.7134
 X_POSIX       0   read        3        65165824        20000000    647.7135    659.2292
 X_POSIX       0   read        4        85165824        20000000    659.2293    670.6804
 X_POSIX       0   read        5       105165824        20000000    670.6805    682.8720
 X_POSIX       0   read        6       125165824        20000000    682.8721    694.8372
 X_POSIX       0   read        7       145165824        20000000    694.8373    706.9924
 X_POSIX       0   read        8       165165824        40000000    706.9925    730.9863
 X_POSIX       0   read        9       205165824        10000000    730.9864    737.0651

# DXT, file_id: 18219216036519526917, file_name: /projects/ovis/tmp/darshan-Part00000000-of-00000001.data
# DXT, rank: 1, hostname: nid00020
# DXT, write_count: 9, read_count: 9
# DXT, mnt_pt: /projects, fs_type: dvs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       1  write        0       215165824        20000000     62.5754     64.9678
 X_POSIX       1  write        1       235165824        20000000    163.4591    166.2211
 X_POSIX       1  write        2       255165824        20000000    242.2415    320.2577
 X_POSIX       1  write        3       275165824        20000000    385.6851    388.0992
 X_POSIX       1  write        4       295165824        20000000    455.8965    457.4685
 X_POSIX       1  write        5       315165824        20000000    501.3700    502.9455
 X_POSIX       1  write        6       335165824        20000000    548.9807    550.4815
 X_POSIX       1  write        7       355165824        40000000    581.3687    600.7227
 X_POSIX       1  write        8       395165824        10000000    618.1084    618.8401
 X_POSIX       1   read        0       215165824        20000000    626.3401    637.8155
 X_POSIX       1   read        1       235165824        20000000    637.8162    649.0747
 X_POSIX       1   read        2       255165824        20000000    649.0748    660.9496
 X_POSIX       1   read        3       275165824        20000000    660.9496    672.5015
 X_POSIX       1   read        4       295165824        20000000    672.5016    684.2845
 X_POSIX       1   read        5       315165824        20000000    684.2846    696.5994
 X_POSIX       1   read        6       335165824        20000000    696.5995    708.4182
